1223,383,2385,383,2385,537,1223,537
2890,510,2994,510,2994,608,2890,608
1063,674,2506,674,2506,882,1063,882
559,1140,1042,1140,1042,1233,559,1233
1157,1140,1469,1140,1469,1228,1157,1228
2769,1140,3159,1140,3159,1228,2769,1228
1974,1146,2100,1146,2100,1223,1974,1223
2297,1146,2484,1146,2484,1233,2297,1233
1346,1284,1824,1275,1829,1485,1350,1494
2413,1321,3180,1321,3180,1425,2413,1425
389,1332,669,1332,669,1425,389,1425
1968,1332,2254,1332,2254,1425,1968,1425
383,1524,2248,1524,2248,1617,383,1617
2683,1807,3098,1758,3120,1939,2705,1989
569,1846,1656,1839,1656,1935,570,1942
2188,1848,2407,1848,2407,1941,2188,1941
383,2199,745,2199,745,2286,383,2286
2045,2199,2418,2199,2418,2286,2045,2286
